시도,지역구분,차종,전체,차종,전체,차종,전체,총합,시군구,위도,경도
경기,하남시,전기승용,315,전기승용,315,전기승용,315,481,경기 하남시,37.5392646,127.2148919
경기,용인시,전기승용,1265,전기승용,1265,전기승용,1265,1603,경기 용인시,37.2410864,127.1775537
경기,파주시,전기승용,379,전기승용,379,전기승용,379,691,경기 파주시,37.7598688,126.7801781
경기,이천시,전기승용,167,전기승용,167,전기승용,167,332,경기 이천시,37.2719952,127.4348221
경기,안성시,전기승용,98,전기승용,98,전기승용,98,201,경기 안성시,37.0079695,127.2796786
경기,김포시,전기승용,625,전기승용,625,전기승용,625,1066,경기 김포시,37.6152464,126.7156325
경기,화성시,전기승용,584,전기승용,584,전기승용,584,752,경기 화성시,37.1994932,126.8311887
경기,광주시,전기승용,349,전기승용,349,전기승용,349,496,경기 광주시,37.4171413,127.2561413
경기,양주시,전기승용,190,전기승용,190,전기승용,190,433,경기 양주시,37.7852875,127.0458453
경기,포천시,전기승용,72,전기승용,72,전기승용,72,109,경기 포천시,37.8949148,127.2003551
경기,여주시,전기승용,100,전기승용,100,전기승용,100,225,경기 여주시,37.2980237,127.6371628
경기,연천군,전기승용,46,전기승용,46,전기승용,46,112,경기 연천군,38.0964438,127.0748335
경기,가평군,전기승용,77,전기승용,77,전기승용,77,113,경기 가평군,37.8315403,127.5098827
경기,양평군,전기승용,133,전기승용,133,전기승용,133,218,경기 양평군,37.4912195,127.4875607
강원,춘천시,전기승용,573,전기승용,573,전기승용,573,752,강원 춘천시,37.8813153,127.7299707
강원,원주시,전기승용,498,전기승용,498,전기승용,498,639,강원 원주시,37.3422186,127.9201621
강원,강릉시,전기승용,388,전기승용,388,전기승용,388,517,강원 강릉시,37.751853,128.8760574
강원,동해시,전기승용,76,전기승용,76,전기승용,76,126,강원 동해시,37.5247192,129.1142915
강원,태백시,전기승용,41,전기승용,41,전기승용,41,67,강원 태백시,37.1640654,128.9855649
강원,속초시,전기승용,96,전기승용,96,전기승용,96,131,강원 속초시,38.2070148,128.5918489
강원,삼척시,전기승용,58,전기승용,58,전기승용,58,89,강원 삼척시,37.4498683,129.1652059
