,상세도로망_링크ID,노선번호,링크 길이,도로명,시도명,시군구명,시간적 범위,평일주말,당일최대정체길이
242,2240107900,4,,서해안고속도로,강원도,,전일,평일,0
243,2240604000,4,,서해안고속도로,강원도,,전일,평일,14
244,2840200700,3,,중부고속도로,강원도,,전일,평일,1
245,2840243100,3,,중부고속도로,강원도,,전일,평일,8
246,2770011402,2,,영동고속도로,강원도,,전일,평일,19
247,2770013102,2,,영동고속도로,강원도,,전일,평일,2
248,3530477601,1,,경부고속도로,강원도,,전일,평일,20
249,2450132701,1,,경부고속도로,강원도,,전일,평일,7
250,2840263400,5,,중부내륙고속도로,강원도,,전일,주말,0
251,2840265200,5,,중부내륙고속도로,강원도,,전일,주말,0
252,3180253100,4,,서해안고속도로,강원도,,전일,주말,2
253,3190002500,4,,서해안고속도로,강원도,,전일,주말,2
254,2840263400,3,,중부고속도로,강원도,,전일,주말,4
255,2840265200,3,,중부고속도로,강원도,,전일,주말,7
256,2770012900,2,,영동고속도로,강원도,,전일,주말,2
257,2770013201,2,,영동고속도로,강원도,,전일,주말,15
258,3550732701,1,,경부고속도로,강원도,,전일,주말,7
259,2450132601,1,,경부고속도로,강원도,,전일,주말,11
260,2840274400,5,,중부내륙고속도로,강원도,,전일,주말,0
261,2840276000,5,,중부내륙고속도로,강원도,,전일,주말,0
262,3190002900,4,,서해안고속도로,강원도,,전일,주말,0
263,3190009500,4,,서해안고속도로,강원도,,전일,주말,2
264,2840274400,3,,중부고속도로,강원도,,전일,주말,0
265,2840276000,3,,중부고속도로,강원도,,전일,주말,3
266,2770013205,2,,영동고속도로,강원도,,전일,주말,25
267,2770013400,2,,영동고속도로,강원도,,전일,주말,0
268,3530477501,1,,경부고속도로,강원도,,전일,주말,1
269,2450132901,1,,경부고속도로,강원도,,전일,주말,4
270,2840285200,5,,중부내륙고속도로,강원도,,전일,평일,0
271,2840287100,5,,중부내륙고속도로,강원도,,전일,평일,0
272,3190026300,4,,서해안고속도로,강원도,,전일,평일,1
273,3190027100,4,,서해안고속도로,강원도,,전일,평일,5
274,2840285200,3,,중부고속도로,강원도,,전일,평일,1
275,2840287100,3,,중부고속도로,강원도,,전일,평일,7
276,2770014302,2,,영동고속도로,강원도,,전일,평일,3
277,2770014402,2,,영동고속도로,강원도,,전일,평일,4
278,3530477601,1,,경부고속도로,강원도,,전일,평일,12
279,2450132701,1,,경부고속도로,강원도,,전일,평일,6
280,2840292300,5,,중부내륙고속도로,강원도,,전일,평일,0
281,2840292800,5,,중부내륙고속도로,강원도,,전일,평일,0
282,3190060600,4,,서해안고속도로,강원도,,전일,평일,2
283,3190172700,4,,서해안고속도로,강원도,,전일,평일,12
284,2840292300,3,,중부고속도로,강원도,,전일,평일,0
285,2840292800,3,,중부고속도로,강원도,,전일,평일,2
286,2770015600,2,,영동고속도로,강원도,,전일,평일,10
287,2770017504,2,,영동고속도로,강원도,,전일,평일,0
288,3550732701,1,,경부고속도로,강원도,,전일,평일,6
289,2450132601,1,,경부고속도로,강원도,,전일,평일,0
290,2840294000,5,,중부내륙고속도로,강원도,,전일,평일,0
291,2840294400,5,,중부내륙고속도로,강원도,,전일,평일,3
